steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
24,4548.426,0,0.007913456298410892,9.484979129613812e-05,0.01411321179786116,-16.30306053161621,876.6298828125,6059.63330078125,0.0,0.0,0.0,1,296427,-0.0026595068629831076,-0.002883891575038433,-0.004026682116091251,-1.0416556596755981,-0.044411323964595795,0.0028714374639093876,0.0006526230718009174,0,5165.75963980009,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
25,4548.477,0,0.0259329192340374,0.00031082809496446953,0.014149423004321211,-16.303237915039062,876.6299438476562,4981.32470703125,4.031999588012695,0.0,1.0,2,296431,-0.03714270889759064,-0.010081149637699127,0.013859107159078121,-1.0416454076766968,-0.0445401668548584,-0.0007948356796987355,-0.012206417508423328,0,5165.75963980009,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
26,4548.528,0,0.2748452126979828,0.003294117263840755,0.01464565635153275,-16.31096076965332,876.6338500976562,4996.21337890625,0.0,0.0,1.0,2,296435,-0.2563615143299103,-0.04919656738638878,0.1268939971923828,-1.0416847467422485,-0.045908574014902115,-0.0007545261760242283,-0.07927173376083374,0,5165.768564116064,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
27,4548.594,0,0.6158860921859741,0.0073808657786800565,0.01585898378865176,-16.337894439697266,876.6480712890625,4992.43701171875,4.031999588012695,0.0,1.0,2,296439,-0.5490708947181702,-0.09093145281076431,0.29969802498817444,-1.0419039726257324,-0.048666972666978836,0.0019364296458661556,-0.10951116681098938,0,5165.7970532785985,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
28,4548.645,0,0.8927825093269348,0.01069875372825896,0.016394120081150747,-16.372209548950195,876.6673583984375,4965.85791015625,0.0,0.0,1.0,2,296443,-0.7855062484741211,-0.10046768933534622,0.4471339285373688,-1.0419764518737793,-0.05070674046874046,0.004228092264384031,-0.10361259430646896,0,5165.835839728796,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
29,4548.696,0,1.1752440929412842,0.014082892733231184,0.017048698380676637,-16.4190731048584,876.6937866210938,4930.853515625,4.031999588012695,0.0,1.0,2,296447,-1.0364165306091309,-0.0902198925614357,0.5817812085151672,-1.0420464277267456,-0.05144460126757622,0.00606751162558794,-0.08789721131324768,0,5165.889385624643,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
30,4548.759,0,1.5244441032409668,0.01826563834222659,0.018164586426055774,-16.494422912597656,876.7362060546875,4887.5302734375,0.0,0.0,1.0,2,296451,-1.3415027856826782,-0.05659567192196846,0.7560283541679382,-1.0411262512207031,-0.05138557776808739,0.030121926218271255,-0.060251880437135696,0,5165.974853112246,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
31,4548.813,0,1.8260127305984497,0.021876524440743655,0.019511543288126775,-16.57444190979004,876.7810668945312,4847.68017578125,4.031999588012695,0.0,1.0,2,296455,-1.60861337184906,-0.022044502198696136,0.898745596408844,-1.0397915840148926,-0.051116619259119034,0.022398605942726135,-0.03074941597878933,0,5166.064439514914,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
32,4548.876,0,2.1762728691101074,0.026069322940389345,0.02111476441404843,-16.68584442138672,876.8434448242188,4804.8486328125,0.0,0.0,1.0,2,296459,-1.9104790687561035,0.011092862114310265,1.0757977962493896,-1.0384644269943237,-0.050996553152799606,0.02591671422123909,0.0014224782353267074,0,5166.191439396091,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3364,0.0
33,4548.927,0,2.4488673210144043,0.029336793737695425,0.020260025543921374,-16.78961944580078,876.902099609375,4786.62109375,4.031999588012695,0.0,1.0,2,296463,-2.1450769901275635,0.0193137489259243,1.213371753692627,-1.0369274616241455,-0.05142015963792801,0.030213281512260437,0.013224766589701176,0,5166.310201447137,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3364,0.0
